m,m0,m1,null_ratio,L,mode,correction,power
16,0,16,0.0,10,D,bonferroni,0.739009375
16,0,16,0.0,10,D,hochberg,0.83111875
16,0,16,0.0,10,D,fdr,0.8820125
16,4,12,0.25,10,D,bonferroni,0.711875
16,4,12,0.25,10,D,hochberg,0.7543791666666667
16,4,12,0.25,10,D,fdr,0.850575
16,8,8,0.5,10,D,bonferroni,0.7419125
16,8,8,0.5,10,D,hochberg,0.76261875
16,8,8,0.5,10,D,fdr,0.844675
16,12,4,0.75,10,D,bonferroni,0.6596875
16,12,4,0.75,10,D,hochberg,0.669625
16,12,4,0.75,10,D,fdr,0.74145
16,0,16,0.0,10,E,bonferroni,0.824803125
16,0,16,0.0,10,E,hochberg,0.90165625
16,0,16,0.0,10,E,fdr,0.92325
16,4,12,0.25,10,E,bonferroni,0.8258791666666667
16,4,12,0.25,10,E,hochberg,0.8581541666666667
16,4,12,0.25,10,E,fdr,0.9128916666666667
16,8,8,0.5,10,E,bonferroni,0.8261625
16,8,8,0.5,10,E,hochberg,0.84279375
16,8,8,0.5,10,E,fdr,0.89853125
16,12,4,0.75,10,E,bonferroni,0.8266
16,12,4,0.75,10,E,hochberg,0.833225
16,12,4,0.75,10,E,fdr,0.8749625
16,0,16,0.0,10,I,bonferroni,0.911471875
16,0,16,0.0,10,I,hochberg,0.958553125
16,0,16,0.0,10,I,fdr,0.962328125
16,4,12,0.25,10,I,bonferroni,0.9399875
16,4,12,0.25,10,I,hochberg,0.9540291666666667
16,4,12,0.25,10,I,fdr,0.97165
16,8,8,0.5,10,I,bonferroni,0.910925
16,8,8,0.5,10,I,hochberg,0.92103125
16,8,8,0.5,10,I,fdr,0.9500875
16,12,4,0.75,10,I,bonferroni,0.9950375
16,12,4,0.75,10,I,hochberg,0.995675
16,12,4,0.75,10,I,fdr,0.9986125
16,0,16,0.0,15,D,bonferroni,0.919196875
16,0,16,0.0,15,D,hochberg,0.98409375
16,0,16,0.0,15,D,fdr,0.9860875
16,4,12,0.25,15,D,bonferroni,0.91095
16,4,12,0.25,15,D,hochberg,0.9469083333333334
16,4,12,0.25,15,D,fdr,0.97975
16,8,8,0.5,15,D,bonferroni,0.92
16,8,8,0.5,15,D,hochberg,0.93716875
16,8,8,0.5,15,D,fdr,0.9756875
16,12,4,0.75,15,D,bonferroni,0.8937625
16,12,4,0.75,15,D,hochberg,0.902625
16,12,4,0.75,15,D,fdr,0.9480125
16,0,16,0.0,15,E,bonferroni,0.946221875
16,0,16,0.0,15,E,hochberg,0.990165625
16,0,16,0.0,15,E,fdr,0.99090625
16,4,12,0.25,15,E,bonferroni,0.9461208333333333
16,4,12,0.25,15,E,hochberg,0.9688
16,4,12,0.25,15,E,fdr,0.9878083333333333
16,8,8,0.5,15,E,bonferroni,0.94673125
16,8,8,0.5,15,E,hochberg,0.95858125
16,8,8,0.5,15,E,fdr,0.98414375
16,12,4,0.75,15,E,bonferroni,0.9471625
16,12,4,0.75,15,E,hochberg,0.9520125
16,12,4,0.75,15,E,fdr,0.974675
16,0,16,0.0,15,I,bonferroni,0.973203125
16,0,16,0.0,15,I,hochberg,0.99538125
16,0,16,0.0,15,I,fdr,0.9955
16,4,12,0.25,15,I,bonferroni,0.9820458333333333
16,4,12,0.25,15,I,hochberg,0.9899458333333333
16,4,12,0.25,15,I,fdr,0.9959458333333333
16,8,8,0.5,15,I,bonferroni,0.97355
16,8,8,0.5,15,I,hochberg,0.979525
16,8,8,0.5,15,I,fdr,0.99185625
16,12,4,0.75,15,I,bonferroni,1.0
16,12,4,0.75,15,I,hochberg,1.0
16,12,4,0.75,15,I,fdr,1.0
16,0,16,0.0,5,D,bonferroni,0.3879125
16,0,16,0.0,5,D,hochberg,0.423840625
16,0,16,0.0,5,D,fdr,0.5614
16,4,12,0.25,5,D,bonferroni,0.338825
16,4,12,0.25,5,D,hochberg,0.3585125
16,4,12,0.25,5,D,fdr,0.48163333333333336
16,8,8,0.5,5,D,bonferroni,0.4160875
16,8,8,0.5,5,D,hochberg,0.42970625
16,8,8,0.5,5,D,fdr,0.52358125
16,12,4,0.75,5,D,bonferroni,0.2985125
16,12,4,0.75,5,D,hochberg,0.3020875
16,12,4,0.75,5,D,fdr,0.340225
16,0,16,0.0,5,E,bonferroni,0.533296875
16,0,16,0.0,5,E,hochberg,0.587278125
16,0,16,0.0,5,E,fdr,0.700284375
16,4,12,0.25,5,E,bonferroni,0.5343125
16,4,12,0.25,5,E,hochberg,0.5667916666666667
16,4,12,0.25,5,E,fdr,0.678525
16,8,8,0.5,5,E,bonferroni,0.53378125
16,8,8,0.5,5,E,hochberg,0.55186875
16,8,8,0.5,5,E,fdr,0.64869375
16,12,4,0.75,5,E,bonferroni,0.53465
16,12,4,0.75,5,E,hochberg,0.541625
16,12,4,0.75,5,E,fdr,0.60185
16,0,16,0.0,5,I,bonferroni,0.678228125
16,0,16,0.0,5,I,hochberg,0.757803125
16,0,16,0.0,5,I,fdr,0.827965625
16,4,12,0.25,5,I,bonferroni,0.7282
16,4,12,0.25,5,I,hochberg,0.7727041666666666
16,4,12,0.25,5,I,fdr,0.8547
16,8,8,0.5,5,I,bonferroni,0.65075625
16,8,8,0.5,5,I,hochberg,0.673375
16,8,8,0.5,5,I,fdr,0.76646875
16,12,4,0.75,5,I,bonferroni,0.7677875
16,12,4,0.75,5,I,hochberg,0.7781125
16,12,4,0.75,5,I,fdr,0.8432
16,0,16,0.0,8,D,bonferroni,0.64120625
16,0,16,0.0,8,D,hochberg,0.71065625
16,0,16,0.0,8,D,fdr,0.7968625
16,4,12,0.25,8,D,bonferroni,0.60485
16,4,12,0.25,8,D,hochberg,0.6414541666666667
16,4,12,0.25,8,D,fdr,0.7508291666666667
16,8,8,0.5,8,D,bonferroni,0.6509625
16,8,8,0.5,8,D,hochberg,0.66949375
16,8,8,0.5,8,D,fdr,0.75520625
16,12,4,0.75,8,D,bonferroni,0.5494125
16,12,4,0.75,8,D,hochberg,0.5563875
16,12,4,0.75,8,D,fdr,0.6213875
16,0,16,0.0,8,E,bonferroni,0.754296875
16,0,16,0.0,8,E,hochberg,0.8243875
16,0,16,0.0,8,E,fdr,0.86746875
16,4,12,0.25,8,E,bonferroni,0.7551458333333333
16,4,12,0.25,8,E,hochberg,0.7877291666666667
16,4,12,0.25,8,E,fdr,0.8547333333333333
16,8,8,0.5,8,E,bonferroni,0.7547375
16,8,8,0.5,8,E,hochberg,0.7714
16,8,8,0.5,8,E,fdr,0.8373375
16,12,4,0.75,8,E,bonferroni,0.756025
16,12,4,0.75,8,E,hochberg,0.762625
16,12,4,0.75,8,E,fdr,0.8099875
16,0,16,0.0,8,I,bonferroni,0.8677
16,0,16,0.0,8,I,hochberg,0.9236875
16,0,16,0.0,8,I,fdr,0.93409375
16,4,12,0.25,8,I,bonferroni,0.9053208333333334
16,4,12,0.25,8,I,hochberg,0.9251625
16,4,12,0.25,8,I,fdr,0.9503666666666667
16,8,8,0.5,8,I,bonferroni,0.85905625
16,8,8,0.5,8,I,hochberg,0.8733125
16,8,8,0.5,8,I,fdr,0.91588125
16,12,4,0.75,8,I,bonferroni,0.9631875
16,12,4,0.75,8,I,hochberg,0.9668625
16,12,4,0.75,8,I,fdr,0.984
32,0,32,0.0,10,D,bonferroni,0.68616875
32,0,32,0.0,10,D,hochberg,0.759315625
32,0,32,0.0,10,D,fdr,0.8723171875
32,8,24,0.25,10,D,bonferroni,0.6792395833333333
32,8,24,0.25,10,D,hochberg,0.7159916666666667
32,8,24,0.25,10,D,fdr,0.85063125
32,16,16,0.5,10,D,bonferroni,0.709425
32,16,16,0.5,10,D,hochberg,0.72853125
32,16,16,0.5,10,D,fdr,0.842471875
32,24,8,0.75,10,D,bonferroni,0.710275
32,24,8,0.75,10,D,hochberg,0.7184875
32,24,8,0.75,10,D,fdr,0.80370625
32,0,32,0.0,10,E,bonferroni,0.80501875
