m,m0,m1,null_ratio,L,mode,correction,power
16,0,16,0.0,10,D,bonferroni,0.731875
16,0,16,0.0,10,D,hochberg,0.829375
16,0,16,0.0,10,D,fdr,0.883125
16,4,12,0.25,10,D,bonferroni,0.6958333333333333
16,4,12,0.25,10,D,hochberg,0.7466666666666667
16,4,12,0.25,10,D,fdr,0.8525
16,8,8,0.5,10,D,bonferroni,0.74375
16,8,8,0.5,10,D,hochberg,0.765
16,8,8,0.5,10,D,fdr,0.84
16,12,4,0.75,10,D,bonferroni,0.66
16,12,4,0.75,10,D,hochberg,0.6725
16,12,4,0.75,10,D,fdr,0.745
16,0,16,0.0,10,E,bonferroni,0.8225
16,0,16,0.0,10,E,hochberg,0.9
16,0,16,0.0,10,E,fdr,0.925625
16,4,12,0.25,10,E,bonferroni,0.8133333333333334
16,4,12,0.25,10,E,hochberg,0.8525
16,4,12,0.25,10,E,fdr,0.915
16,8,8,0.5,10,E,bonferroni,0.82375
16,8,8,0.5,10,E,hochberg,0.8425
16,8,8,0.5,10,E,fdr,0.8975
16,12,4,0.75,10,E,bonferroni,0.825
16,12,4,0.75,10,E,hochberg,0.8325
16,12,4,0.75,10,E,fdr,0.8825
16,0,16,0.0,10,I,bonferroni,0.91
16,0,16,0.0,10,I,hochberg,0.963125
16,0,16,0.0,10,I,fdr,0.9675
16,4,12,0.25,10,I,bonferroni,0.9383333333333334
16,4,12,0.25,10,I,hochberg,0.9491666666666667
16,4,12,0.25,10,I,fdr,0.9725
16,8,8,0.5,10,I,bonferroni,0.905
16,8,8,0.5,10,I,hochberg,0.91625
16,8,8,0.5,10,I,fdr,0.94875
16,12,4,0.75,10,I,bonferroni,0.9975
16,12,4,0.75,10,I,hochberg,0.9975
16,12,4,0.75,10,I,fdr,1.0
16,0,16,0.0,15,D,bonferroni,0.92125
16,0,16,0.0,15,D,hochberg,0.98375
16,0,16,0.0,15,D,fdr,0.985625
16,4,12,0.25,15,D,bonferroni,0.91
16,4,12,0.25,15,D,hochberg,0.9433333333333334
16,4,12,0.25,15,D,fdr,0.9725
16,8,8,0.5,15,D,bonferroni,0.91625
16,8,8,0.5,15,D,hochberg,0.93
16,8,8,0.5,15,D,fdr,0.97
16,12,4,0.75,15,D,bonferroni,0.89
16,12,4,0.75,15,D,hochberg,0.895
16,12,4,0.75,15,D,fdr,0.95
16,0,16,0.0,15,E,bonferroni,0.949375
16,0,16,0.0,15,E,hochberg,0.995
16,0,16,0.0,15,E,fdr,0.995
16,4,12,0.25,15,E,bonferroni,0.9491666666666667
