m,L,mode,m0,m1,n_sim,mus_generation_time,single_data_gen_time,z_test_time,bonferroni_time,hochberg_time,fdr_time,full_loop_time,avg_single_sim_time,estimated_20k_time
4,5,D,2,2,500,1.0013580322265625e-05,7.081031799316406e-05,8.606910705566406e-05,1.1920928955078125e-06,1.0967254638671875e-05,2.86102294921875e-06,0.015824079513549805,3.164815902709961e-05,0.6329631805419922
4,5,E,2,2,500,9.059906005859375e-06,7.867813110351562e-06,2.5987625122070312e-05,9.5367431640625e-07,8.106231689453125e-06,2.86102294921875e-06,0.014139175415039062,2.8278350830078126e-05,0.5655670166015625
4,5,I,2,2,500,9.059906005859375e-06,7.152557373046875e-06,2.47955322265625e-05,1.1920928955078125e-06,6.9141387939453125e-06,2.86102294921875e-06,0.01408529281616211,2.817058563232422e-05,0.5634117126464844
4,8,D,2,2,500,8.106231689453125e-06,6.9141387939453125e-06,2.5987625122070312e-05,9.5367431640625e-07,5.9604644775390625e-06,3.0994415283203125e-06,0.013747930526733398,2.7495861053466795e-05,0.5499172210693359
4,8,E,2,2,500,1.0013580322265625e-05,9.059906005859375e-06,2.5987625122070312e-05,9.5367431640625e-07,5.0067901611328125e-06,1.9073486328125e-06,0.013128995895385742,2.6257991790771484e-05,0.5251598358154297
4,8,I,2,2,500,9.059906005859375e-06,7.867813110351562e-06,3.0994415283203125e-05,9.5367431640625e-07,6.198883056640625e-06,2.1457672119140625e-06,0.013035058975219727,2.6070117950439454e-05,0.5214023590087891
4,10,D,2,2,500,5.9604644775390625e-06,6.9141387939453125e-06,3.123283386230469e-05,7.152557373046875e-07,4.0531158447265625e-06,2.1457672119140625e-06,0.013017654418945312,2.6035308837890626e-05,0.5207061767578125
4,10,E,2,2,500,5.0067901611328125e-06,6.9141387939453125e-06,2.7179718017578125e-05,1.1920928955078125e-06,4.76837158203125e-06,2.1457672119140625e-06,0.012990951538085938,2.5981903076171875e-05,0.5196380615234375
4,10,I,2,2,500,6.198883056640625e-06,7.867813110351562e-06,4.410743713378906e-05,9.5367431640625e-07,4.76837158203125e-06,3.0994415283203125e-06,0.012950897216796875,2.590179443359375e-05,0.518035888671875
4,15,D,2,2,500,4.76837158203125e-06,9.059906005859375e-06,2.9087066650390625e-05,1.1920928955078125e-06,3.814697265625e-06,3.0994415283203125e-06,0.013314008712768555,2.662801742553711e-05,0.5325603485107422
4,15,E,2,2,500,5.0067901611328125e-06,5.9604644775390625e-06,2.9087066650390625e-05,0.0,3.814697265625e-06,1.9073486328125e-06,0.013155937194824219,2.6311874389648437e-05,0.5262374877929688
4,15,I,2,2,500,6.198883056640625e-06,7.867813110351562e-06,2.8848648071289062e-05,1.1920928955078125e-06,4.0531158447265625e-06,1.9073486328125e-06,0.012923002243041992,2.5846004486083986e-05,0.5169200897216797
8,5,D,4,4,500,5.9604644775390625e-06,7.867813110351562e-06,3.0279159545898438e-05,9.5367431640625e-07,5.0067901611328125e-06,2.86102294921875e-06,0.013113021850585938,2.6226043701171875e-05,0.5245208740234375
8,5,E,4,4,500,3.814697265625e-06,1.0013580322265625e-05,3.0040740966796875e-05,7.152557373046875e-07,4.291534423828125e-06,3.0994415283203125e-06,0.013092756271362305,2.618551254272461e-05,0.5237102508544922
8,5,I,4,4,500,5.9604644775390625e-06,8.344650268554688e-06,2.9802322387695312e-05,9.5367431640625e-07,4.76837158203125e-06,4.291534423828125e-06,0.013154745101928711,2.630949020385742e-05,0.5261898040771484
8,8,D,4,4,500,6.198883056640625e-06,7.867813110351562e-06,2.5987625122070312e-05,9.5367431640625e-07,5.0067901611328125e-06,3.0994415283203125e-06,0.012819051742553711,2.5638103485107423e-05,0.5127620697021484
8,8,E,4,4,500,4.291534423828125e-06,7.867813110351562e-06,2.8133392333984375e-05,0.0,5.9604644775390625e-06,3.0994415283203125e-06,0.01324009895324707,2.648019790649414e-05,0.5296039581298828
8,8,I,4,4,500,6.198883056640625e-06,5.9604644775390625e-06,3.0994415283203125e-05,9.5367431640625e-07,5.0067901611328125e-06,3.814697265625e-06,0.013671398162841797,2.7342796325683593e-05,0.5468559265136719
8,10,D,4,4,500,7.867813110351562e-06,6.198883056640625e-06,2.6941299438476562e-05,9.5367431640625e-07,6.198883056640625e-06,2.86102294921875e-06,0.013269901275634766,2.6539802551269532e-05,0.5307960510253906
8,10,E,4,4,500,5.9604644775390625e-06,6.9141387939453125e-06,2.5987625122070312e-05,1.1920928955078125e-06,5.7220458984375e-06,3.0994415283203125e-06,0.013465166091918945,2.693033218383789e-05,0.5386066436767578
8,10,I,4,4,500,7.152557373046875e-06,7.867813110351562e-06,2.8848648071289062e-05,0.0,5.0067901611328125e-06,2.86102294921875e-06,0.012894868850708008,2.5789737701416016e-05,0.5157947540283203
8,15,D,4,4,500,6.9141387939453125e-06,6.9141387939453125e-06,2.7179718017578125e-05,0.0,3.814697265625e-06,4.0531158447265625e-06,0.013211965560913086,2.642393112182617e-05,0.5284786224365234
8,15,E,4,4,500,4.76837158203125e-06,6.198883056640625e-06,2.7894973754882812e-05,9.5367431640625e-07,5.245208740234375e-06,2.86102294921875e-06,0.013129949569702148,2.6259899139404296e-05,0.5251979827880859
8,15,I,4,4,500,5.9604644775390625e-06,9.059906005859375e-06,2.5033950805664062e-05,9.5367431640625e-07,5.0067901611328125e-06,2.86102294921875e-06,0.012992143630981445,2.598428726196289e-05,0.5196857452392578
16,5,D,8,8,500,6.9141387939453125e-06,7.867813110351562e-06,2.9087066650390625e-05,1.1920928955078125e-06,5.7220458984375e-06,4.0531158447265625e-06,0.013292074203491211,2.658414840698242e-05,0.5316829681396484
16,5,E,8,8,500,5.0067901611328125e-06,9.059906005859375e-06,3.0040740966796875e-05,9.5367431640625e-07,6.9141387939453125e-06,3.0994415283203125e-06,0.012988805770874023,2.5977611541748046e-05,0.5195522308349609
16,5,I,8,8,500,5.245208740234375e-06,5.9604644775390625e-06,2.9087066650390625e-05,9.5367431640625e-07,6.9141387939453125e-06,4.0531158447265625e-06,0.013316869735717773,2.6633739471435545e-05,0.5326747894287109
16,8,D,8,8,500,8.106231689453125e-06,1.0013580322265625e-05,2.5987625122070312e-05,0.0,5.9604644775390625e-06,5.0067901611328125e-06,0.013187885284423828,2.6375770568847656e-05,0.5275154113769531
16,8,E,8,8,500,6.198883056640625e-06,6.9141387939453125e-06,3.0994415283203125e-05,0.0,5.0067901611328125e-06,3.814697265625e-06,0.012928962707519531,2.5857925415039063e-05,0.5171585083007812
16,8,I,8,8,500,5.9604644775390625e-06,6.198883056640625e-06,2.6941299438476562e-05,9.5367431640625e-07,5.245208740234375e-06,4.76837158203125e-06,0.013292074203491211,2.658414840698242e-05,0.5316829681396484
16,10,D,8,8,500,6.198883056640625e-06,6.9141387939453125e-06,2.3126602172851562e-05,9.5367431640625e-07,4.76837158203125e-06,4.291534423828125e-06,0.012968778610229492,2.5937557220458986e-05,0.5187511444091797
16,10,E,8,8,500,6.198883056640625e-06,7.867813110351562e-06,3.0040740966796875e-05,9.5367431640625e-07,4.0531158447265625e-06,3.814697265625e-06,0.013380289077758789,2.676057815551758e-05,0.5352115631103516
16,10,I,8,8,500,7.152557373046875e-06,9.059906005859375e-06,2.6941299438476562e-05,9.5367431640625e-07,5.245208740234375e-06,3.814697265625e-06,0.013098001480102539,2.6196002960205077e-05,0.5239200592041016
16,15,D,8,8,500,7.867813110351562e-06,9.059906005859375e-06,2.4080276489257812e-05,9.5367431640625e-07,5.9604644775390625e-06,4.0531158447265625e-06,0.012938976287841797,2.5877952575683595e-05,0.5175590515136719
16,15,E,8,8,500,4.76837158203125e-06,6.9141387939453125e-06,2.4080276489257812e-05,9.5367431640625e-07,5.245208740234375e-06,3.814697265625e-06,0.013216018676757812,2.6432037353515626e-05,0.5286407470703125
16,15,I,8,8,500,7.867813110351562e-06,9.059906005859375e-06,3.3855438232421875e-05,1.1920928955078125e-06,6.9141387939453125e-06,5.9604644775390625e-06,0.01293492317199707,2.586984634399414e-05,0.5173969268798828
32,5,D,16,16,500,5.9604644775390625e-06,7.867813110351562e-06,3.0994415283203125e-05,9.5367431640625e-07,7.152557373046875e-06,5.9604644775390625e-06,0.013590097427368164,2.7180194854736327e-05,0.5436038970947266
